id,airline,departure_delay,arrival_delay,early_departure,early_arrival,departure_delay_greater_ten_min,arrival_delay_greater_ten_min,early_departure_early_ten_min,early_arrival_early_ten_min
1,Alaska Airlines Inc.,43545,56927,121217,110126,22559,28156,21630,58724
2,American Airlines Inc.,245495,251790,434916,445502,143163,153884,11997,263572
3,American Eagle Airlines Inc.,93726,103505,171512,170102,63735,69171,12888,102356
4,Atlantic Southeast Airlines,169894,213214,365588,328296,110280,128864,26794,168605
5,Delta Air Lines Inc.,282256,250676,522181,601380,148607,141807,5851,347607
6,Frontier Airlines Inc.,34824,41156,51950,46683,23540,27101,7061,24200
7,Hawaiian Airlines Inc.,20146,30179,52841,42545,7546,11815,3192,7853
8,JetBlue Airways,101929,101869,146954,154955,66177,67859,10689,92608
9,Skywest Airlines Inc.,171463,222270,380082,339731,110316,128273,31991,166889
10,Southwest Airlines Co.,565538,469772,586295,740359,317295,281030,960,353362
11,Spirit Air Lines,52089,56887,58663,55893,35888,39029,5975,27427
12,US Airways Inc.,62565,76285,123032,113399,34403,44307,2627,57710
13,United Air Lines Inc.,256262,186024,224211,311395,141846,120971,7390,193414
14,Virgin America,23266,24049,33911,35282,12959,14178,988,17869
